cwnd, ssthresh, congestionEvent, no, time, source, destination, protocol, length, tcp_segment_len, tcp_delta, tcp_flags, tcp_ack, tcp_seq, tcp_window_size, info
1,8,0,1,0.000000,"192.168.10.184","192.168.10.196",6,74,0,0.000000,0x0002,0,0,65535,"52343 → 5201 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=64 SACK_PERM TSval=2027714706 TSecr=0"
1,8,0,2,0.105354,"192.168.10.196","192.168.10.184",6,66,0,0.105354,0x0012,1,0,65535,"5201 → 52343 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460 WS=4 SACK_PERM"
2,8,0,3,0.105449,"192.168.10.184","192.168.10.196",6,54,0,0.000095,0x0010,1,1,4096,"52343 → 5201 [ACK] Seq=1 Ack=1 Win=262144 Len=0"
4,8,0,4,0.105480,"192.168.10.184","192.168.10.196",6,91,37,0.000031,0x0018,1,1,4096,"52343 → 5201 Cookie: Chriss-MBP.1587504839.785272.09f51cc"
8,8,0,5,0.268582,"192.168.10.196","192.168.10.184",6,54,0,0.163102,0x0010,38,1,53238,"5201 → 52343 [ACK] Seq=1 Ack=38 Win=212952 Len=0"
9,8,0,6,0.350994,"192.168.10.184","192.168.10.196",6,1514,1460,0.082412,0x0010,1,38,4096,"52343 → 5201 Unknown 84(84) Unknown -5(-5) Unknown 49(49) Unknown 81(81) Unknown -74(-74) Unknown 70(70) Unknown 85(85) Unknown -29(-29) Unknown -118(-118) Unknown 48(48) Unknown 43(43) TEST_START(1) PARAM_EXCHANGE(9) Next message is JSON of this length: 3761114960[BoundErrorUnreassembled Packet]"
10,8,1,7,0.350994,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,1498,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,5,0,8,0.350995,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,2958,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,5,0,9,0.350995,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,4418,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,5,0,10,0.351003,"192.168.10.184","192.168.10.196",6,1514,1460,0.000008,0x0010,1,5878,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
8,5,1,11,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,7338,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,4,0,12,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,8798,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,4,0,13,0.351004,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,10258,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,4,0,14,0.460172,"192.168.10.196","192.168.10.184",6,54,0,0.109168,0x0010,11718,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=11718 Win=212992 Len=0"
7,4,0,15,0.460234,"192.168.10.184","192.168.10.196",6,1514,1460,0.000062,0x0010,1,11718,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
8,4,1,16,0.460234,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,13178,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,4,0,17,0.460235,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,14638,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,4,0,18,0.460235,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,16098,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,4,0,19,0.460236,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,17558,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
7,4,1,20,0.460236,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,19018,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,21,0.460237,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,20478,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
4,3,0,22,0.460237,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,21938,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
5,3,0,23,0.460238,"192.168.10.184","192.168.10.196",6,1514,1460,0.000001,0x0010,1,23398,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
6,3,1,24,0.460238,"192.168.10.184","192.168.10.196",6,1514,1460,0.000000,0x0010,1,24858,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
3,3,0,25,0.592291,"192.168.10.196","192.168.10.184",6,54,0,0.132053,0x0010,26318,1,53248,"5201 → 52343 [ACK] Seq=1 Ack=26318 Win=212992 Len=0"
4,3,0,26,0.592451,"192.168.10.184","192.168.10.196",6,1514,1460,0.000160,0x0010,1,26318,4096,"52343 → 5201[BoundErrorUnreassembled Packet]"
